iter	Passed	Remaining
0	484	484184
1	943	470564
2	1398	464856
3	1855	462015
4	2322	462198
5	2794	462971
6	3257	462167
7	3730	462559
8	4198	462312
9	4657	461125
10	5118	460216
11	5580	459440
12	6044	458919
13	6503	458061
14	6954	456686
15	7362	452824
16	7658	442835
17	8130	443584
18	8612	444673
19	9084	445118
20	9561	445755
21	10047	446677
22	10515	446690
23	10999	447322
24	11471	447376
25	11941	447350
26	12411	447288
27	12898	447755
28	13379	447977
29	13853	447920
30	14322	447690
31	14796	447588
32	15275	447630
33	15749	447479
34	16221	447262
35	16702	447255
36	17181	447179
37	17648	446790
38	18116	446413
39	18591	446186
40	19062	445881
41	19537	445642
42	20003	445204
43	20465	444662
44	20925	444081
45	21394	443693
46	21864	443327
47	22315	442595
48	22730	441162
49	23007	437138
50	23469	436718
51	23947	436582
52	24423	436398
53	25037	438613
54	25648	440687
55	26179	441317
56	26715	441976
57	27233	442311
58	27753	442642
59	28283	443100
60	28797	443297
61	29324	443650
62	29849	443949
63	30374	444222
64	30904	444551
65	31443	444973
66	31964	445111
67	32484	445229
68	33007	445360
69	33527	445436
70	34052	445557
71	34584	445759
72	35110	445852
73	35647	446070
74	36157	445944
75	36673	445870
76	37180	445688
77	37701	445655
78	38223	445623
79	38724	445332
80	39217	444952
81	39562	442907
82	40053	442517
83	40580	442520
84	41099	442423
85	41619	442326
86	42146	442296
87	42668	442200
88	43181	442006
89	43701	441867
90	44227	441792
91	44753	441693
92	45278	441586
93	45800	441436
94	46315	441216
95	46833	441014
96	47365	440935
97	47889	440777
98	48415	440634
99	48929	440365
100	49442	440087
101	49966	439900
102	50495	439747
103	51032	439662
104	51543	439350
105	52053	439015
106	52564	438688
107	53068	438308
108	53513	437438
109	53972	436688
110	54431	435944
111	54891	435214
112	55388	434776
113	55841	433997
114	56132	431974
115	56557	431006
116	57034	430439
117	57505	429832
118	57979	429239
119	58449	428631
120	58915	427992
121	59398	427473
122	59860	426812
123	60329	426198
124	60800	425602
125	61272	425013
126	61732	424349
127	62189	423664
128	62642	422960
129	63108	422339
130	63570	421701
131	64027	421031
132	64484	420358
133	64948	419741
134	65402	419061
135	65863	418428
136	66319	417765
137	66770	417070
138	67313	416953
139	67824	416636
140	68316	416198
141	68813	415786
142	69340	415557
143	69847	415207
144	70340	414768
145	70825	414281
146	71273	413578
147	71661	412539
148	72129	411960
149	72630	411575
150	73134	411199
151	73626	410760
152	74132	410393
153	74644	410058
154	75151	409697
155	75655	409313
156	76159	408931
157	76664	408556
158	77160	408124
159	77660	407719
160	78161	407311
161	78662	406907
162	79174	406557
163	79682	406186
164	80183	405778
165	80680	405347
166	81180	404931
167	81675	404487
168	82171	404051
169	82673	403638
170	83181	403259
171	83691	402888
172	84192	402471
173	84694	402054
174	85198	401650
175	85735	401396
176	86208	400845
177	86687	400323
178	87162	399777
179	87589	399021
180	87920	397828
181	88409	397357
182	88904	396913
183	89386	396409
184	89876	395941
185	90359	395443
186	90839	394935
187	91323	394441
188	91801	393919
189	92279	393402
190	92776	392964
191	93270	392512
192	93762	392054
193	94236	391519
194	94721	391028
195	95201	390520
196	95684	390024
197	96169	389533
198	96653	389044
199	97119	388478
200	97600	387973
201	98080	387466
202	98570	386997
203	99059	386526
204	99538	386016
205	100026	385538
206	100587	385341
207	101052	384775
208	101514	384201
209	101974	383616
210	102445	383076
211	102899	382476
212	103307	381704
213	103589	380473
214	104050	379907
215	104513	379346
216	104989	378832
217	105455	378285
218	105917	377725
219	106383	377179
220	106855	376652
221	107334	376155
222	107810	375645
223	108285	375130
224	108750	374583
225	109217	374046
226	109687	373517
227	110155	372983
228	110628	372465
229	111099	371942
230	111561	371390
231	112029	370857
232	112502	370340
233	112965	369792
234	113436	369271
235	113900	368729
236	114366	368193
237	114841	367687
238	115356	367305
239	115844	366840
240	116310	366306
241	116783	365794
242	117250	365261
243	117708	364702
244	118165	364142
245	118567	363414
246	118834	362276
247	119451	362208
248	119954	361791
249	120455	361367
250	120968	360976
251	121471	360557
252	121979	360152
253	122486	359742
254	122985	359311
255	123487	358884
256	123990	358463
257	124497	358050
258	125002	357633
259	125507	357214
260	126009	356785
261	126518	356377
262	127022	355953
263	127526	355528
264	128022	355081
265	128524	354650
266	129023	354210
267	129525	353778
268	130032	353358
269	130533	352923
270	131044	352514
271	131552	352096
272	132037	351616
273	132536	351173
274	133029	350712
275	133520	350248
276	134018	349803
277	134511	349342
278	134955	348756
279	135271	347841
280	135784	347433
281	136285	346997
282	136820	346645
283	137276	346091
284	137734	345544
285	138196	345007
286	138657	344468
287	139119	343934
288	139578	343392
289	140035	342845
290	140498	342314
291	140962	341784
292	141431	341270
293	141895	340742
294	142360	340218
295	142827	339697
296	143280	339145
297	143741	338612
298	144203	338081
299	144650	337517
300	145124	337016
301	145634	336600
302	146101	336081
303	146568	335564
304	147029	335034
305	147479	334478
306	147932	333932
307	148380	333373
308	148828	332816
309	149275	332259
310	149728	331712
311	150055	330892
312	150458	330240
313	151019	329933
314	151482	329415
315	151948	328900
316	152411	328382
317	152867	327848
318	153330	327329
319	153787	326798
320	154245	326269
321	154708	325751
322	155161	325215
323	155625	324700
324	156090	324187
325	156550	323666
326	157008	323139
327	157472	322626
328	157938	322116
329	158399	321598
330	158866	321092
331	159328	320577
332	159790	320060
333	160274	319589
334	160764	319129
335	161244	318649
336	161723	318167
337	162190	317662
338	162643	317130
339	163094	316594
340	163554	316077
341	164018	315567
342	164436	314969
343	164719	314115
344	165211	313663
345	165686	313175
346	166153	312675
347	166622	312178
348	167091	311681
349	167570	311201
350	168051	310728
351	168529	310247
352	169009	309771
353	169482	309281
354	169957	308795
355	170427	308301
356	170894	307801
357	171364	307308
358	171832	306809
359	172300	306312
360	172763	305806
361	173232	305310
362	173714	304838
363	174201	304374
364	174678	303892
365	175164	303426
366	175695	303039
367	176149	302517
368	176616	302018
369	177097	301543
370	177564	301046
371	178025	300538
372	178471	300004
373	178813	299297
374	179179	298632
375	179646	298136
376	180122	297656
377	180591	297164
378	181061	296673
379	181536	296190
380	182007	295701
381	182475	295208
382	182944	294718
383	183420	294237
384	183908	293776
385	184375	293281
386	184848	292795
387	185308	292290
388	185774	291794
389	186242	291302
390	186713	290814
391	187182	290324
392	187653	289835
393	188118	289339
394	188598	288866
395	189069	288378
396	189548	287903
397	190013	287406
398	190490	286928
399	190948	286422
400	191414	285928
401	191871	285420
402	192340	284931
403	192802	284431
404	193225	283874
405	193510	283116
406	194093	282794
407	194610	282376
408	195131	281962
409	195642	281534
410	196153	281106
411	196651	280657
412	197155	280219
413	197661	279782
414	198164	279340
415	198676	278910
416	199216	278521
417	199726	278087
418	200229	277645
419	200738	277210
420	201245	276771
421	201755	276337
422	202257	275892
423	202768	275459
424	203268	275009
425	203766	274559
426	204285	274135
427	204804	273710
428	205367	273345
429	205893	272928
430	206395	272480
431	206901	272036
432	207399	271583
433	207906	271140
434	208407	270690
435	208879	270202
436	209205	269524
437	209720	269093
438	210230	268654
439	210740	268215
440	211244	267767
441	211769	267346
442	212275	266901
443	212777	266451
444	213295	266019
445	213802	265575
446	214309	265130
447	214809	264675
448	215329	264246
449	215835	263798
450	216334	263343
451	216837	262891
452	217348	262448
453	217850	261996
454	218338	261525
455	218823	261052
456	219305	260575
457	219785	260095
458	220266	259617
459	220756	259149
460	221249	258684
461	221734	258209
462	222217	257733
463	222705	257262
464	223183	256781
465	223664	256301
466	224143	255821
467	224547	255254
468	224839	254562
469	225341	254108
470	225836	253646
471	226322	253174
472	226817	252712
473	227310	252247
474	227793	251771
475	228282	251303
476	228773	250835
477	229277	250382
478	229760	249906
479	230248	249435
480	230730	248958
481	231223	248493
482	231704	248015
483	232202	247555
484	232687	247081
485	233172	246606
486	233653	246127
487	234137	245652
488	234623	245179
489	235114	244711
490	235671	244310
491	236155	243835
492	236647	243367
493	237126	242887
494	237603	242403
495	238092	241932
496	238571	241452
497	239053	240973
498	239533	240493
499	239992	239992
500	240304	239345
501	240834	238915
502	241331	238452
503	241839	238000
504	242332	237534
505	242833	237074
506	243330	236611
507	243833	236153
508	244330	235690
509	244832	235230
510	245335	234772
511	245847	234323
512	246358	233872
513	246862	233415
514	247361	232952
515	247876	232504
516	248378	232044
517	248886	231589
518	249385	231125
519	249869	230648
520	250368	230185
521	250862	229716
522	251369	229260
523	251873	228800
524	252388	228351
525	252888	227888
526	253391	227427
527	253888	226960
528	254392	226501
529	254895	226039
530	255391	225571
531	255895	225110
532	256364	224619
533	256678	223993
534	257163	223515
535	257678	223064
536	258185	222607
537	258740	222189
538	259243	221728
539	259743	221263
540	260256	220809
541	260766	220352
542	261269	219889
543	261774	219428
544	262283	218970
