iter	MultiClass
0	1.762025475
1	1.620471551
2	1.503791315
3	1.41082451
4	1.334143667
5	1.272502772
6	1.216045006
7	1.169917
8	1.12938046
9	1.093123114
10	1.059719738
11	1.029150055
12	0.9994473767
13	0.9726629822
14	0.9519449817
15	0.9309954247
16	0.9109779445
17	0.8930164521
18	0.8760360595
19	0.8612807414
20	0.8476499901
21	0.8358893906
22	0.8257711289
23	0.8124563883
24	0.8035963254
25	0.7945795486
26	0.7852927477
27	0.777091183
28	0.7683530581
29	0.7595148377
30	0.7510166413
31	0.7446532096
32	0.7392796562
33	0.7321420651
34	0.7264756488
35	0.7211003585
36	0.7156459806
37	0.7117896639
38	0.7054404461
39	0.7010317228
40	0.6968495693
41	0.6936196618
42	0.6902539719
43	0.6864705998
44	0.6813590925
45	0.6776698589
46	0.6743297929
47	0.671141326
48	0.6674310114
49	0.6636194552
50	0.6592517564
51	0.6555356332
52	0.6516236878
53	0.648117515
54	0.6460282659
55	0.6430645138
56	0.6401746751
57	0.6378076757
58	0.6341396497
59	0.6314198949
60	0.6275317337
61	0.6245541477
62	0.6220251682
63	0.6178485937
64	0.6150769964
65	0.6128139361
66	0.6095770944
67	0.6070819149
68	0.6047894498
69	0.6026646632
70	0.5994996655
71	0.5953734925
72	0.5936894104
73	0.5902681446
74	0.588269162
75	0.5848753881
76	0.5831102235
77	0.5809032778
78	0.5787859907
79	0.5764713239
80	0.5751901567
81	0.5744218382
82	0.572656334
83	0.5701670939
84	0.5681316617
85	0.5661154637
86	0.5642341986
87	0.5626806768
88	0.5611325192
89	0.5595299763
90	0.5568665006
91	0.5555665753
92	0.5545657696
93	0.5524751883
94	0.5509159012
95	0.5498068211
96	0.5485797022
97	0.5476269763
98	0.5452646411
99	0.5431513715
100	0.5410836165
101	0.5400046975
102	0.5388297964
103	0.5371486078
104	0.535867686
105	0.5349687965
106	0.5338630701
107	0.5329948319
108	0.5316101565
109	0.5304935724
110	0.5286213905
111	0.5268025834
112	0.5253746006
113	0.5243236167
114	0.5231778285
115	0.5214340227
116	0.5191962525
117	0.5182002422
118	0.5164796316
119	0.514768148
120	0.5131813732
121	0.5115547537
122	0.5104561101
123	0.5081370702
124	0.5072970601
125	0.5054676174
126	0.5048622297
127	0.5035544096
128	0.5027632787
129	0.5009691229
130	0.499891977
131	0.4979080651
132	0.4970504172
133	0.495660623
134	0.4943986887
135	0.4930793465
136	0.4923346188
137	0.4915356292
138	0.4902735156
139	0.4887755392
140	0.4868966537
141	0.4855514318
142	0.4846049943
143	0.4840391844
144	0.4831432646
145	0.4821083258
146	0.4812940553
147	0.4798685898
148	0.479077579
149	0.4774431235
150	0.4766944278
151	0.4756020782
152	0.4750250598
153	0.4745023551
154	0.473097716
