iter	Passed	Remaining
0	13	13662
1	25	12904
2	38	12660
3	51	12947
4	64	12763
5	78	12971
6	88	12573
7	101	12537
8	112	12359
9	125	12430
10	137	12327
11	152	12581
12	166	12638
13	177	12525
14	189	12433
15	202	12476
16	216	12525
17	228	12472
18	239	12379
19	249	12241
20	261	12205
21	274	12183
22	285	12137
23	301	12259
24	313	12237
25	326	12245
26	339	12239
27	354	12299
28	367	12302
29	379	12278
30	390	12208
31	403	12217
32	418	12268
33	432	12274
34	444	12252
35	458	12266
36	468	12192
37	480	12166
38	496	12232
39	508	12215
40	520	12166
41	533	12165
42	545	12135
43	557	12105
44	570	12107
45	582	12081
46	594	12062
47	606	12032
48	618	12010
49	630	11986
50	642	11948
51	652	11889
52	664	11864
53	677	11877
54	690	11861
55	700	11806
56	713	11808
57	724	11765
58	736	11749
59	748	11721
60	760	11710
61	773	11705
62	787	11712
63	800	11702
64	812	11687
65	824	11662
66	837	11663
67	849	11645
68	862	11636
69	876	11638
70	889	11640
71	903	11650
72	915	11628
73	928	11620
74	940	11603
75	954	11608
76	967	11592
77	980	11584
78	992	11574
79	1006	11580
80	1019	11568
81	1031	11546
82	1042	11519
83	1054	11498
84	1068	11505
85	1082	11499
86	1094	11488
87	1105	11455
88	1117	11441
89	1128	11409
90	1142	11413
91	1154	11391
92	1166	11376
93	1176	11343
94	1188	11318
95	1203	11332
96	1215	11311
97	1226	11291
98	1239	11276
99	1251	11260
100	1262	11236
101	1274	11221
102	1287	11210
103	1298	11189
104	1310	11170
105	1323	11159
106	1335	11142
107	1349	11149
108	1362	11138
109	1374	11120
110	1387	11112
111	1401	11112
112	1416	11115
113	1428	11100
114	1442	11099
115	1455	11090
116	1468	11083
117	1482	11080
118	1496	11080
119	1511	11083
120	1523	11069
121	1536	11054
122	1548	11042
123	1563	11045
124	1575	11028
125	1586	11003
126	1598	10987
127	1609	10965
128	1622	10951
129	1632	10926
130	1645	10912
131	1657	10897
132	1670	10886
133	1682	10876
134	1695	10861
