version,model,acc,time,k_acc,,,,,,,,
0,ET,0.868320106,5.991982698,0.75735,,,,,,,,
0,ET Voting,0.868783069,48.94949937,0.75934,,,,,,,,
0,RF,0.865343915,6.475813627,0.75432,,,,,,,,
0,XGBoost,0.841,16.648,0.792,,,,,,,,
0,NeuralNetwork,0.831,78.9172,0.58395,,,,,,,,
0,Catboost,0.859391534,77.38750219,0.73891,,,,,,,,
0,LightGBM,0.8593,47.7409,0.73342,,,,,,,,
1,ET,0.890939153,5.786226511,0.79727,,,,,,,,
1,ET Voting,0.892989418,45.50850177,0.79789,,,,,,,,
1,RF,0.881481481,6.15656805,0.78393,,,,,,,,
1,XGBoost,0.858,24.0843,0.81,,,,,,,,
1,NeuralNetwork,0.841,88.8048,0.7616,,,,,,,,
1,Catboost,0.862169312,82.54449773,0.74616,,,,,,,,
1,LightGBM,0.872,54.332,0.75524,,,,,,,,
2,ET,0.896560847,5.622957706,0.80055,,,,,,,,
2,ET Voting,0.89755291,45.32349873,0.80125,,,,,,,,
2,RF,0.880291005,6.101942301,0.7783,,,,,,,,
2,XGBoost,0.859,25,0.808,,,,,,,,
2,NeuralNetwork,0.85,80.0438,0.77087,,,,,,,,
2,Catboost,0.862896825,82.43399739,0.75098,,,,,,,,
2,LightGBM,0.8748,55.3953,0.7548,,,,,,,,
3,ET,0.911111111,5.181762218,0.81399,,,,,,,,
3,ET Voting,0.913095238,45.23699951,0.81653,,,,,,,,
3,RF,0.893187831,6.807998419,0.78536,,,,,,,,
3,XGBoost,0.877,79,0.817,,,,,,,,
3,NeuralNetwork,0.853,79.0877,0.78165,,,,,,,,
3,Catboost,0.875595238,96.3385005,0.75776,,,,,,,,
3,LightGBM,0.8858,60.1594,0.77079,,,,,,,,
